REF_DATE,GEO,Type of grain,UOM,SCALAR_FACTOR,VALUE
2008-09,Canada,"All grains, total",Tonnes,units,4151261
2008-10,Canada,"All grains, total",Tonnes,units,4068524
2008-11,Canada,"All grains, total",Tonnes,units,3459391
2008-12,Canada,"All grains, total",Tonnes,units,2959597
2009-01,Canada,"All grains, total",Tonnes,units,3279451
2009-02,Canada,"All grains, total",Tonnes,units,3248066
2009-03,Canada,"All grains, total",Tonnes,units,3774997
2009-04,Canada,"All grains, total",Tonnes,units,4302746
2009-05,Canada,"All grains, total",Tonnes,units,2933283
2009-06,Canada,"All grains, total",Tonnes,units,3974441
2009-07,Canada,"All grains, total",Tonnes,units,4578906
2009-08,Canada,"All grains, total",Tonnes,units,2296631
2009-09,Canada,"All grains, total",Tonnes,units,4877454
2009-10,Canada,"All grains, total",Tonnes,units,3188772
2009-11,Canada,"All grains, total",Tonnes,units,3656077
2009-12,Canada,"All grains, total",Tonnes,units,3120753
2010-01,Canada,"All grains, total",Tonnes,units,3265943
2010-02,Canada,"All grains, total",Tonnes,units,3495122
2010-03,Canada,"All grains, total",Tonnes,units,3958751
2010-04,Canada,"All grains, total",Tonnes,units,3075302
2010-05,Canada,"All grains, total",Tonnes,units,2369622
2010-06,Canada,"All grains, total",Tonnes,units,4110605
2010-07,Canada,"All grains, total",Tonnes,units,4520498
2010-08,Canada,"All grains, total",Tonnes,units,2982594
2010-09,Canada,"All grains, total",Tonnes,units,3757228
2010-10,Canada,"All grains, total",Tonnes,units,2971159
2010-11,Canada,"All grains, total",Tonnes,units,3255462
2010-12,Canada,"All grains, total",Tonnes,units,3630242
2011-01,Canada,"All grains, total",Tonnes,units,2938418
2011-02,Canada,"All grains, total",Tonnes,units,2827488
2011-03,Canada,"All grains, total",Tonnes,units,3610274
2011-04,Canada,"All grains, total",Tonnes,units,2565588
2011-05,Canada,"All grains, total",Tonnes,units,2203013
2011-06,Canada,"All grains, total",Tonnes,units,3959861
2011-07,Canada,"All grains, total",Tonnes,units,4103885
2011-08,Canada,"All grains, total",Tonnes,units,3571758
2011-09,Canada,"All grains, total",Tonnes,units,4728528
2011-10,Canada,"All grains, total",Tonnes,units,3555165
2011-11,Canada,"All grains, total",Tonnes,units,4946652
2011-12,Canada,"All grains, total",Tonnes,units,3717237
2012-01,Canada,"All grains, total",Tonnes,units,3391262
2012-02,Canada,"All grains, total",Tonnes,units,4213737
2012-03,Canada,"All grains, total",Tonnes,units,3199504
2012-04,Canada,"All grains, total",Tonnes,units,2957380
2012-05,Canada,"All grains, total",Tonnes,units,2960982
2012-06,Canada,"All grains, total",Tonnes,units,2878839
2012-07,Canada,"All grains, total",Tonnes,units,3731264
2012-08,Canada,"All grains, total",Tonnes,units,4205057
2012-09,Canada,"All grains, total",Tonnes,units,4352725
2012-10,Canada,"All grains, total",Tonnes,units,4751326
2012-11,Canada,"All grains, total",Tonnes,units,3859863
2012-12,Canada,"All grains, total",Tonnes,units,3250574
2013-01,Canada,"All grains, total",Tonnes,units,3878673
2013-02,Canada,"All grains, total",Tonnes,units,3840220
2013-03,Canada,"All grains, total",Tonnes,units,3322317
2013-04,Canada,"All grains, total",Tonnes,units,2986603
2013-05,Canada,"All grains, total",Tonnes,units,2402910
2013-06,Canada,"All grains, total",Tonnes,units,3141177
2013-07,Canada,"All grains, total",Tonnes,units,3628342
2013-08,Canada,"All grains, total",Tonnes,units,3006382
2013-09,Canada,"All grains, total",Tonnes,units,5829452
2013-10,Canada,"All grains, total",Tonnes,units,5188170
2013-11,Canada,"All grains, total",Tonnes,units,4127243
2013-12,Canada,"All grains, total",Tonnes,units,3665912
2014-01,Canada,"All grains, total",Tonnes,units,3804855
2014-02,Canada,"All grains, total",Tonnes,units,3528512
2014-03,Canada,"All grains, total",Tonnes,units,4380599
2014-04,Canada,"All grains, total",Tonnes,units,4520882
2014-05,Canada,"All grains, total",Tonnes,units,3767125
2014-06,Canada,"All grains, total",Tonnes,units,4916521
2014-07,Canada,"All grains, total",Tonnes,units,5781731
2014-08,Canada,"All grains, total",Tonnes,units,4320399
2014-09,Canada,"All grains, total",Tonnes,units,4568424
2014-10,Canada,"All grains, total",Tonnes,units,5180584
2014-11,Canada,"All grains, total",Tonnes,units,4379556
2014-12,Canada,"All grains, total",Tonnes,units,3960029
2015-01,Canada,"All grains, total",Tonnes,units,4187097
2015-02,Canada,"All grains, total",Tonnes,units,4185385
2015-03,Canada,"All grains, total",Tonnes,units,4739751
2015-04,Canada,"All grains, total",Tonnes,units,3991464
2015-05,Canada,"All grains, total",Tonnes,units,3596704
2015-06,Canada,"All grains, total",Tonnes,units,4309998
2015-07,Canada,"All grains, total",Tonnes,units,4451737
2015-08,Canada,"All grains, total",Tonnes,units,3508190
2015-09,Canada,"All grains, total",Tonnes,units,5773473
2015-10,Canada,"All grains, total",Tonnes,units,4211317
2015-11,Canada,"All grains, total",Tonnes,units,4280910
2015-12,Canada,"All grains, total",Tonnes,units,4935911
2016-01,Canada,"All grains, total",Tonnes,units,4118696
2016-02,Canada,"All grains, total",Tonnes,units,4073474
2016-03,Canada,"All grains, total",Tonnes,units,4849055
2016-04,Canada,"All grains, total",Tonnes,units,3450702
2016-05,Canada,"All grains, total",Tonnes,units,2800245
2016-06,Canada,"All grains, total",Tonnes,units,4457924
2016-07,Canada,"All grains, total",Tonnes,units,3985604
2016-08,Canada,"All grains, total",Tonnes,units,3865528
2016-09,Canada,"All grains, total",Tonnes,units,5298781
2016-10,Canada,"All grains, total",Tonnes,units,4022717
2016-11,Canada,"All grains, total",Tonnes,units,5710445
2016-12,Canada,"All grains, total",Tonnes,units,3890452
2017-01,Canada,"All grains, total",Tonnes,units,4270284
2017-02,Canada,"All grains, total",Tonnes,units,3858639
2017-03,Canada,"All grains, total",Tonnes,units,5110914
2017-04,Canada,"All grains, total",Tonnes,units,3877512
2017-05,Canada,"All grains, total",Tonnes,units,2909464
2017-06,Canada,"All grains, total",Tonnes,units,5871125
2017-07,Canada,"All grains, total",Tonnes,units,4148873
2017-08,Canada,"All grains, total",Tonnes,units,4460315
2017-09,Canada,"All grains, total",Tonnes,units,5249812
2017-10,Canada,"All grains, total",Tonnes,units,4162523
2017-11,Canada,"All grains, total",Tonnes,units,5407644
2017-12,Canada,"All grains, total",Tonnes,units,3696222
2018-01,Canada,"All grains, total",Tonnes,units,4977137
2018-02,Canada,"All grains, total",Tonnes,units,3564363
2018-03,Canada,"All grains, total",Tonnes,units,4065090
2018-04,Canada,"All grains, total",Tonnes,units,3792480
2018-05,Canada,"All grains, total",Tonnes,units,3917394
2018-06,Canada,"All grains, total",Tonnes,units,4493105
2018-07,Canada,"All grains, total",Tonnes,units,4195534
2018-08,Canada,"All grains, total",Tonnes,units,4831208
2018-09,Canada,"All grains, total",Tonnes,units,4797764
2018-10,Canada,"All grains, total",Tonnes,units,4825356
2018-11,Canada,"All grains, total",Tonnes,units,5510060
2018-12,Canada,"All grains, total",Tonnes,units,4200377
2019-01,Canada,"All grains, total",Tonnes,units,5113449
2019-02,Canada,"All grains, total",Tonnes,units,3855199
2019-03,Canada,"All grains, total",Tonnes,units,4062184
2019-04,Canada,"All grains, total",Tonnes,units,4110998
2019-05,Canada,"All grains, total",Tonnes,units,4502591
2019-06,Canada,"All grains, total",Tonnes,units,4022358
2019-07,Canada,"All grains, total",Tonnes,units,3974744
2019-08,Canada,"All grains, total",Tonnes,units,3673544
2019-09,Canada,"All grains, total",Tonnes,units,4580885
2019-10,Canada,"All grains, total",Tonnes,units,6829609
2019-11,Canada,"All grains, total",Tonnes,units,4643119
2019-12,Canada,"All grains, total",Tonnes,units,5443797
2020-01,Canada,"All grains, total",Tonnes,units,4302659
2020-02,Canada,"All grains, total",Tonnes,units,4072448
2020-03,Canada,"All grains, total",Tonnes,units,4691477
2020-04,Canada,"All grains, total",Tonnes,units,5885465
2020-05,Canada,"All grains, total",Tonnes,units,3574408
2020-06,Canada,"All grains, total",Tonnes,units,5219115
2020-07,Canada,"All grains, total",Tonnes,units,6483472
2020-08,Canada,"All grains, total",Tonnes,units,4453368
2020-09,Canada,"All grains, total",Tonnes,units,7773541
2020-10,Canada,"All grains, total",Tonnes,units,5410969
2020-11,Canada,"All grains, total",Tonnes,units,5242941
2020-12,Canada,"All grains, total",Tonnes,units,5703341
2021-01,Canada,"All grains, total",Tonnes,units,5398245
2021-02,Canada,"All grains, total",Tonnes,units,4623294
2021-03,Canada,"All grains, total",Tonnes,units,6037516
2021-04,Canada,"All grains, total",Tonnes,units,4865725
2021-05,Canada,"All grains, total",Tonnes,units,3127837
2021-06,Canada,"All grains, total",Tonnes,units,4933863
2021-07,Canada,"All grains, total",Tonnes,units,3702116
2021-08,Canada,"All grains, total",Tonnes,units,3538313
2021-09,Canada,"All grains, total",Tonnes,units,7185516
2021-10,Canada,"All grains, total",Tonnes,units,4627244
2021-11,Canada,"All grains, total",Tonnes,units,3944280
2021-12,Canada,"All grains, total",Tonnes,units,3385253
2001-08,Canada,"Wheat, total",Tonnes,units,1766613
2001-09,Canada,"Wheat, total",Tonnes,units,1450529
2001-10,Canada,"Wheat, total",Tonnes,units,2029911
2001-11,Canada,"Wheat, total",Tonnes,units,1573542
2001-12,Canada,"Wheat, total",Tonnes,units,1548385
2002-01,Canada,"Wheat, total",Tonnes,units,1399565
2002-02,Canada,"Wheat, total",Tonnes,units,1546267
2002-03,Canada,"Wheat, total",Tonnes,units,1261194
2002-04,Canada,"Wheat, total",Tonnes,units,1315902
2002-05,Canada,"Wheat, total",Tonnes,units,1122369
2002-06,Canada,"Wheat, total",Tonnes,units,1220607
2002-07,Canada,"Wheat, total",Tonnes,units,2308765
2002-08,Canada,"Wheat, total",Tonnes,units,1175348
2002-09,Canada,"Wheat, total",Tonnes,units,1263192
2002-10,Canada,"Wheat, total",Tonnes,units,1517453
2002-11,Canada,"Wheat, total",Tonnes,units,1478730
2002-12,Canada,"Wheat, total",Tonnes,units,1571738
2003-01,Canada,"Wheat, total",Tonnes,units,652464
2003-02,Canada,"Wheat, total",Tonnes,units,834126
2003-03,Canada,"Wheat, total",Tonnes,units,732313
2003-04,Canada,"Wheat, total",Tonnes,units,1129209
2003-05,Canada,"Wheat, total",Tonnes,units,834797
2003-06,Canada,"Wheat, total",Tonnes,units,1159735
2003-07,Canada,"Wheat, total",Tonnes,units,2004830
2003-08,Canada,"Wheat, total",Tonnes,units,2511529
2003-09,Canada,"Wheat, total",Tonnes,units,1641729
2003-10,Canada,"Wheat, total",Tonnes,units,1578555
2003-11,Canada,"Wheat, total",Tonnes,units,1409019
2003-12,Canada,"Wheat, total",Tonnes,units,2087986
2004-01,Canada,"Wheat, total",Tonnes,units,999190
2004-02,Canada,"Wheat, total",Tonnes,units,933042
2004-03,Canada,"Wheat, total",Tonnes,units,1559323
2004-04,Canada,"Wheat, total",Tonnes,units,1023581
2004-05,Canada,"Wheat, total",Tonnes,units,1071228
2004-06,Canada,"Wheat, total",Tonnes,units,2244668
2004-07,Canada,"Wheat, total",Tonnes,units,2673161
2004-08,Canada,"Wheat, total",Tonnes,units,1196121
2004-09,Canada,"Wheat, total",Tonnes,units,1951573
2004-10,Canada,"Wheat, total",Tonnes,units,1640059
2004-11,Canada,"Wheat, total",Tonnes,units,1951001
2004-12,Canada,"Wheat, total",Tonnes,units,1967192
2005-01,Canada,"Wheat, total",Tonnes,units,1587786
2005-02,Canada,"Wheat, total",Tonnes,units,1364028
2005-03,Canada,"Wheat, total",Tonnes,units,1620058
2005-04,Canada,"Wheat, total",Tonnes,units,1329065
2005-05,Canada,"Wheat, total",Tonnes,units,1074022
2005-06,Canada,"Wheat, total",Tonnes,units,2084180
2005-07,Canada,"Wheat, total",Tonnes,units,2818717
2005-08,Canada,"Wheat, total",Tonnes,units,1577423
2005-09,Canada,"Wheat, total",Tonnes,units,1645495
2005-10,Canada,"Wheat, total",Tonnes,units,1430142
2005-11,Canada,"Wheat, total",Tonnes,units,1918923
2005-12,Canada,"Wheat, total",Tonnes,units,1361086
2006-01,Canada,"Wheat, total",Tonnes,units,1367900
2006-02,Canada,"Wheat, total",Tonnes,units,1307020
2006-03,Canada,"Wheat, total",Tonnes,units,1897832
2006-04,Canada,"Wheat, total",Tonnes,units,1685492
2006-05,Canada,"Wheat, total",Tonnes,units,1774037
2006-06,Canada,"Wheat, total",Tonnes,units,2170723
2006-07,Canada,"Wheat, total",Tonnes,units,3141877
2006-08,Canada,"Wheat, total",Tonnes,units,2361511
2006-09,Canada,"Wheat, total",Tonnes,units,1750527
2006-10,Canada,"Wheat, total",Tonnes,units,1860766
2006-11,Canada,"Wheat, total",Tonnes,units,2268692
2006-12,Canada,"Wheat, total",Tonnes,units,1555779
2007-01,Canada,"Wheat, total",Tonnes,units,1761857
2007-02,Canada,"Wheat, total",Tonnes,units,1585142
2007-03,Canada,"Wheat, total",Tonnes,units,1724010
2007-04,Canada,"Wheat, total",Tonnes,units,1482360
2007-05,Canada,"Wheat, total",Tonnes,units,1820622
2007-06,Canada,"Wheat, total",Tonnes,units,2240365
2007-07,Canada,"Wheat, total",Tonnes,units,3034921
2007-08,Canada,"Wheat, total",Tonnes,units,1959125
2007-09,Canada,"Wheat, total",Tonnes,units,1366037
2007-10,Canada,"Wheat, total",Tonnes,units,1651971
2007-11,Canada,"Wheat, total",Tonnes,units,1647962
2007-12,Canada,"Wheat, total",Tonnes,units,1494233
2008-01,Canada,"Wheat, total",Tonnes,units,1317545
2008-02,Canada,"Wheat, total",Tonnes,units,1323922
2008-03,Canada,"Wheat, total",Tonnes,units,1384195
2008-04,Canada,"Wheat, total",Tonnes,units,1306163
2008-05,Canada,"Wheat, total",Tonnes,units,1262150
2008-06,Canada,"Wheat, total",Tonnes,units,1451478
2008-07,Canada,"Wheat, total",Tonnes,units,2304738
2008-08,Canada,"Wheat, total",Tonnes,units,1839156
2008-09,Canada,"Wheat, total",Tonnes,units,2006310
2008-10,Canada,"Wheat, total",Tonnes,units,1940123
2008-11,Canada,"Wheat, total",Tonnes,units,2121501
2008-12,Canada,"Wheat, total",Tonnes,units,1675035
2009-01,Canada,"Wheat, total",Tonnes,units,1491508
2009-02,Canada,"Wheat, total",Tonnes,units,1790443
2009-03,Canada,"Wheat, total",Tonnes,units,1946969
2009-04,Canada,"Wheat, total",Tonnes,units,2157084
2009-05,Canada,"Wheat, total",Tonnes,units,1618500
2009-06,Canada,"Wheat, total",Tonnes,units,2363750
2009-07,Canada,"Wheat, total",Tonnes,units,2898030
2009-08,Canada,"Wheat, total",Tonnes,units,1159780
2009-09,Canada,"Wheat, total",Tonnes,units,2872808
2009-10,Canada,"Wheat, total",Tonnes,units,1645004
2009-11,Canada,"Wheat, total",Tonnes,units,2013252
2009-12,Canada,"Wheat, total",Tonnes,units,1714276
2010-01,Canada,"Wheat, total",Tonnes,units,1774150
2010-02,Canada,"Wheat, total",Tonnes,units,1856709
2010-03,Canada,"Wheat, total",Tonnes,units,1905443
2010-04,Canada,"Wheat, total",Tonnes,units,1787583
2010-05,Canada,"Wheat, total",Tonnes,units,1240439
2010-06,Canada,"Wheat, total",Tonnes,units,2170845
2010-07,Canada,"Wheat, total",Tonnes,units,2695394
2010-08,Canada,"Wheat, total",Tonnes,units,1493927
2010-09,Canada,"Wheat, total",Tonnes,units,1450003
2010-10,Canada,"Wheat, total",Tonnes,units,1340194
2010-11,Canada,"Wheat, total",Tonnes,units,1656839
2010-12,Canada,"Wheat, total",Tonnes,units,1689677
2011-01,Canada,"Wheat, total",Tonnes,units,1427226
2011-02,Canada,"Wheat, total",Tonnes,units,1374345
2011-03,Canada,"Wheat, total",Tonnes,units,1892149
2011-04,Canada,"Wheat, total",Tonnes,units,1378445
2011-05,Canada,"Wheat, total",Tonnes,units,1210269
2011-06,Canada,"Wheat, total",Tonnes,units,2262122
2011-07,Canada,"Wheat, total",Tonnes,units,2664084
2011-08,Canada,"Wheat, total",Tonnes,units,1763312
2011-09,Canada,"Wheat, total",Tonnes,units,1839209
2011-10,Canada,"Wheat, total",Tonnes,units,1703131
2011-11,Canada,"Wheat, total",Tonnes,units,2702697
2011-12,Canada,"Wheat, total",Tonnes,units,1677970
2012-01,Canada,"Wheat, total",Tonnes,units,1616634
2012-02,Canada,"Wheat, total",Tonnes,units,2061937
2012-03,Canada,"Wheat, total",Tonnes,units,1582092
2012-04,Canada,"Wheat, total",Tonnes,units,1521757
2012-05,Canada,"Wheat, total",Tonnes,units,1644518
2012-06,Canada,"Wheat, total",Tonnes,units,1558188
2012-07,Canada,"Wheat, total",Tonnes,units,2388922
2012-08,Canada,"Wheat, total",Tonnes,units,2272609
2012-09,Canada,"Wheat, total",Tonnes,units,1837437
2012-10,Canada,"Wheat, total",Tonnes,units,2358218
2012-11,Canada,"Wheat, total",Tonnes,units,2057267
2012-12,Canada,"Wheat, total",Tonnes,units,1594716
2013-01,Canada,"Wheat, total",Tonnes,units,1999824
2013-02,Canada,"Wheat, total",Tonnes,units,1907481
2013-03,Canada,"Wheat, total",Tonnes,units,1687680
2013-04,Canada,"Wheat, total",Tonnes,units,1675362
2013-05,Canada,"Wheat, total",Tonnes,units,1297288
2013-06,Canada,"Wheat, total",Tonnes,units,1943008
2013-07,Canada,"Wheat, total",Tonnes,units,2429783
2013-08,Canada,"Wheat, total",Tonnes,units,2021871
2013-09,Canada,"Wheat, total",Tonnes,units,3224426
2013-10,Canada,"Wheat, total",Tonnes,units,2583417
2013-11,Canada,"Wheat, total",Tonnes,units,2127277
2013-12,Canada,"Wheat, total",Tonnes,units,1971970
2014-01,Canada,"Wheat, total",Tonnes,units,2152615
2014-02,Canada,"Wheat, total",Tonnes,units,1815966
2014-03,Canada,"Wheat, total",Tonnes,units,2419229
2014-04,Canada,"Wheat, total",Tonnes,units,2324715
2014-05,Canada,"Wheat, total",Tonnes,units,2033925
2014-06,Canada,"Wheat, total",Tonnes,units,2812497
2014-07,Canada,"Wheat, total",Tonnes,units,3501660
2014-08,Canada,"Wheat, total",Tonnes,units,2847896
2014-09,Canada,"Wheat, total",Tonnes,units,2190671
2014-10,Canada,"Wheat, total",Tonnes,units,2725221
2014-11,Canada,"Wheat, total",Tonnes,units,2500853
2014-12,Canada,"Wheat, total",Tonnes,units,2066038
2015-01,Canada,"Wheat, total",Tonnes,units,2082568
2015-02,Canada,"Wheat, total",Tonnes,units,2427511
2015-03,Canada,"Wheat, total",Tonnes,units,2309818
2015-04,Canada,"Wheat, total",Tonnes,units,2162058
2015-05,Canada,"Wheat, total",Tonnes,units,2032364
2015-06,Canada,"Wheat, total",Tonnes,units,2415357
2015-07,Canada,"Wheat, total",Tonnes,units,2431691
2015-08,Canada,"Wheat, total",Tonnes,units,2135768
2015-09,Canada,"Wheat, total",Tonnes,units,2854653
2015-10,Canada,"Wheat, total",Tonnes,units,1974924
2015-11,Canada,"Wheat, total",Tonnes,units,2303643
2015-12,Canada,"Wheat, total",Tonnes,units,2602948
2016-01,Canada,"Wheat, total",Tonnes,units,2191800
2016-02,Canada,"Wheat, total",Tonnes,units,1962137
2016-03,Canada,"Wheat, total",Tonnes,units,2495134
2016-04,Canada,"Wheat, total",Tonnes,units,1495713
2016-05,Canada,"Wheat, total",Tonnes,units,1203650
2016-06,Canada,"Wheat, total",Tonnes,units,2304852
2016-07,Canada,"Wheat, total",Tonnes,units,2127209
2016-08,Canada,"Wheat, total",Tonnes,units,2116619
2016-09,Canada,"Wheat, total",Tonnes,units,2357497
2016-10,Canada,"Wheat, total",Tonnes,units,1878587
2016-11,Canada,"Wheat, total",Tonnes,units,2671565
2016-12,Canada,"Wheat, total",Tonnes,units,1797174
2017-01,Canada,"Wheat, total",Tonnes,units,2009980
2017-02,Canada,"Wheat, total",Tonnes,units,1836546
2017-03,Canada,"Wheat, total",Tonnes,units,2662476
2017-04,Canada,"Wheat, total",Tonnes,units,1892679
2017-05,Canada,"Wheat, total",Tonnes,units,1521784
2017-06,Canada,"Wheat, total",Tonnes,units,3412479
2017-07,Canada,"Wheat, total",Tonnes,units,2356157
2017-08,Canada,"Wheat, total",Tonnes,units,2689678
2017-09,Canada,"Wheat, total",Tonnes,units,2130351
2017-10,Canada,"Wheat, total",Tonnes,units,1778209
2017-11,Canada,"Wheat, total",Tonnes,units,2633434
2017-12,Canada,"Wheat, total",Tonnes,units,1610425
2018-01,Canada,"Wheat, total",Tonnes,units,2491392
2018-02,Canada,"Wheat, total",Tonnes,units,1737028
2018-03,Canada,"Wheat, total",Tonnes,units,1905564
2018-04,Canada,"Wheat, total",Tonnes,units,1778419
2018-05,Canada,"Wheat, total",Tonnes,units,1998713
2018-06,Canada,"Wheat, total",Tonnes,units,2383347
2018-07,Canada,"Wheat, total",Tonnes,units,2597556
2018-08,Canada,"Wheat, total",Tonnes,units,2968480
2018-09,Canada,"Wheat, total",Tonnes,units,2339764
2018-10,Canada,"Wheat, total",Tonnes,units,2025087
2018-11,Canada,"Wheat, total",Tonnes,units,2831730
2018-12,Canada,"Wheat, total",Tonnes,units,2291592
2019-01,Canada,"Wheat, total",Tonnes,units,2586523
2019-02,Canada,"Wheat, total",Tonnes,units,1991051
2019-03,Canada,"Wheat, total",Tonnes,units,2333110
2019-04,Canada,"Wheat, total",Tonnes,units,2254795
2019-05,Canada,"Wheat, total",Tonnes,units,2420160
2019-06,Canada,"Wheat, total",Tonnes,units,2152314
2019-07,Canada,"Wheat, total",Tonnes,units,1990891
2019-08,Canada,"Wheat, total",Tonnes,units,1842610
2019-09,Canada,"Wheat, total",Tonnes,units,2458535
2019-10,Canada,"Wheat, total",Tonnes,units,3115866
2019-11,Canada,"Wheat, total",Tonnes,units,2395304
2019-12,Canada,"Wheat, total",Tonnes,units,2582948
2020-01,Canada,"Wheat, total",Tonnes,units,2111651
2020-02,Canada,"Wheat, total",Tonnes,units,2057095
2020-03,Canada,"Wheat, total",Tonnes,units,2476601
2020-04,Canada,"Wheat, total",Tonnes,units,3103807
2020-05,Canada,"Wheat, total",Tonnes,units,1878154
2020-06,Canada,"Wheat, total",Tonnes,units,2810992
2020-07,Canada,"Wheat, total",Tonnes,units,3836676
2020-08,Canada,"Wheat, total",Tonnes,units,2607393
2020-09,Canada,"Wheat, total",Tonnes,units,3345292
2020-10,Canada,"Wheat, total",Tonnes,units,2579734
2020-11,Canada,"Wheat, total",Tonnes,units,2541236
2020-12,Canada,"Wheat, total",Tonnes,units,2653548
2021-01,Canada,"Wheat, total",Tonnes,units,2872291
2021-02,Canada,"Wheat, total",Tonnes,units,2313864
2021-03,Canada,"Wheat, total",Tonnes,units,3022487
2021-04,Canada,"Wheat, total",Tonnes,units,2597760
2021-05,Canada,"Wheat, total",Tonnes,units,1764265
2021-06,Canada,"Wheat, total",Tonnes,units,3061988
2021-07,Canada,"Wheat, total",Tonnes,units,2623431
2021-08,Canada,"Wheat, total",Tonnes,units,2334472
2021-09,Canada,"Wheat, total",Tonnes,units,2887109
2021-10,Canada,"Wheat, total",Tonnes,units,2045245
