NPRI ID,Facility name,Company name,Address,City,Province,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
362,Metro Vancouver Waste-To-Energy Facility,Greater Vancouver Sewerage and Drainage District,,Burnaby,British Columbia,49.1866,-122.9785,3.11,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09362&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/362,2021
442,Cold Lake,Imperial Oil Resources Limited,,Grande Centre,Alberta,54.59702,-110.39972,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09442&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/442,2021
444,Copper Cliff Smelter,Vale Canada Limited,18 Rink Street,Copper Cliff,Ontario,46.4786,-81.0553,967.62,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09444&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/444,2021
455,Ingot Metal Company Limited,Ingot Metal Co. Ltd.,,Weston,Ontario,43.7595,-79.5488,149.05,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09455&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/455,2021
479,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,,Quesnel,British Columbia,52.998,-122.483,45.67,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09479&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/479,2021
530,Spi Heat Transfer Division,Spectra Premium Industries Inc.,7029 Farrell Chemin,Calgary,Alberta,50.992,-114.059,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09530&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/530,2021
618,Golden Ewp Division,Louisiana Pacific Canada Ltd.,,Golden,British Columbia,51.3138,-116.9804,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09618&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/618,2021
672,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,,Castlegar,British Columbia,49.3357,-117.728,21.36,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09672&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/672,2021
702,Richmond Cement Plant,Lafarge Canada Inc.,,Richmond,British Columbia,49.1591,-123.0032,3.2,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09702&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/702,2021
717,Dana Cambridge,Dana Canada Corporation,,Cambridge,Ontario,43.3645,-80.2916,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09717&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/717,2021
718,Lp Dawson Creek,Louisiana Pacific Canada Ltd.,,Dawson Creek,British Columbia,55.7814,-120.2753,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09718&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/718,2021
723,Powell River Division,Catalyst Paper Corporation,,Powell River,British Columbia,49.8727,-124.5516,14.6,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09723&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/723,2021
732,Metalex Products - Richmond,Metalex Products Ltd.,,Richmond,British Columbia,49.1941,-123.092,2.01,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09732&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/732,2021
744,8 Wing Trenton Environmental Management,Department of National Defence,,Astra,Ontario,44.1119,-77.5317,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09744&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/744,2021
746,5 Wing Goose Bay,Department of National Defence,,Goose Bay,Newfoundland and Labrador,53.3149,-60.4175,1.03,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09746&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/746,2021
762,Ppg Phillips Industrial Coatings - Winnipeg,Ppg Phillips Industrial Coatings Inc,,Winnipeg,Manitoba,49.8811,-97.0389,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09762&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/762,2021
818,Sfl Canusa Huntsville,Sfl Canusa Canada Ltd.,,Huntsville,Ontario,45.3173,-79.245,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09818&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/818,2021
821,Brandon Generating Station,Manitoba Hydro,,Brandon,Manitoba,49.8449,-99.8901,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09821&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/821,2021
875,Meadow Lake Mechanical Pulp,Meadow Lake Mechanical Pulp,,Meadow Lake,Saskatchewan,54.156864,-108.285728,0,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09875&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/875,2021
878,Whitecourt Pulp Division,Millar Western Forest Products Ltd.,,Whitecourt,Alberta,54.1444,-115.6917,0.22,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09878&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/878,2021
917,Fort Frances Division,Resolute FP Canada Inc.,427 Mowat Avenue,Fort Frances,Ontario,48.6111,-93.4034,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09917&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/917,2021
928,Dryden Mill,Domtar Inc.,,Dryden,Ontario,49.7831,-92.8472,29.24,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09928&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/928,2021
929,Usine de Gatineau,Produits Forestiers Résolu,,Gatineau,Quebec,45.4808,-75.6556,178.9,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09929&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/929,2021
930,Resolute Forest Products - Thunder Bay Operations,Produits Forestiers Résolu,,Thunder Bay,Ontario,48.3486,-89.3067,104.56,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09930&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/930,2021
983,Division Alma,Produits Forestiers Résolu,,Alma,Quebec,48.565,-71.6558,0.24,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09983&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/983,2021
1039,H.R.Milner Generating Station,Milner Power Limited Partnership By Its Gp Milner Power Inc.,,Municipal District of Greenvie,Alberta,54.0071,-119.104,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091039&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1039,2021
1042,Swan Hills Treatment Center,Suez Canada Waste Services Inc.,,Swan Hills,Alberta,54.775,-115.2186,0.02,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091042&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1042,2021
1070,Algoma Steel Inc,Algoma Steel Inc.,105 West Street North,Sault Ste. Marie,Ontario,46.5208,-84.3697,287.53,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091070&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1070,2021
1106,Altasteel Inc.,Altasteel Inc.,,Edmonton,Alberta,53.5291,-113.3875,412.91,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091106&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1106,2021
1147,Rabbit Lake Operation,Cameco Corporation,,Saskatoon,Saskatchewan,58.1938,-103.7158,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091147&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1147,2021
1148,Key Lake Operation,Cameco Corporation,,Saskatoon,Saskatchewan,57.2122,-105.6788,0,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091148&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1148,2021
1149,Mcarthur River Operation,Cameco Corporation,,Saskatoon,Saskatchewan,57.7622,-105.05,0,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091149&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1149,2021
1169,Celestica Toronto Site,Celestica International Inc.,844 Don Mills Road,Toronto,Ontario,43.7219,-79.3425,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091169&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1169,2021
1185,Skookumchuck Operation,Skookumchuck Pulp Inc.,,Skookumchuck,British Columbia,49.9151,-115.7579,5.73,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091185&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1185,2021
1195,Domtar Usine de Windsor,Domtar Inc.,,Windsor,Quebec,45.5644,-71.979,38.83,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091195&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1195,2021
1221,Edmundston Pulp Mill,Twin Rivers Paper Company Inc.,,Edmundston,New Brunswick,47.3749,-68.3333,24.07,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091221&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1221,2021
1233,Sudbury Operations Mines Mill - Onaping Area,Glencore Canada Corporation,,Onaping,Ontario,46.6742,-81.3425,68.91,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091233&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1233,2021
1236,Sudbury Integrated Nickel Operations Smelter,Glencore Canada Corporation,,Falconbridge,Ontario,46.5775,-80.8042,2 809.34,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091236&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1236,2021
1251,Edmonton Plant,Owens Corning Insulating Systems Canada LP,,Edmonton,Alberta,53.5717,-113.3498,5.36,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091251&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1251,2021
1257,Canfor Taylor Pulp,Canfor Pulp Ltd.,,Taylor,British Columbia,56.145,-120.651,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091257&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1257,2021
1266,Crofton Division,Catalyst Paper Corporation,,Crofton,British Columbia,48.875,-123.645,51.29,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091266&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1266,2021
1269,Essex Aluminum Plant,Nemak of Canada Corp.,6500 Cantelon Drive,Windsor,Ontario,42.3017,-82.9423,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091269&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1269,2021
1303,Gibraltar Mine (Sfo),Gibraltar Mines Ltd.,,Mcleese Lake,British Columbia,52.5299,-122.2851,0.03,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091303&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1303,2021
1329,Usine Granford,Contitech Canada Inc.,,St-Alphonse de Granby,Quebec,45.342,-72.8306,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091329&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1329,2021
1344,Griffin Canada - Winnipeg,Griffin Canada Inc.,2500 Day Street,Winnipeg,Manitoba,49.913,-97.0025,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091344&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1344,2021
1383,Harmac Pacific Operations,Nanaimo Forest Products Ltd.,,Nanaimo,British Columbia,49.1369,-123.8564,15.35,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091383&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1383,2021
1419,Howe Sound Pulp and Paper Mill,Howe Sound Pulp & Paper Corporation,,Port Mellon,British Columbia,49.5237,-123.4837,14.65,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091419&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1419,2021
1464,Sarnia Chemical Plant,Imperial Oil,,Sarnia,Ontario,42.9544,-82.4153,9.1,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091464&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1464,2021
1465,Clarabelle Mill,Vale Canada Limited,,Copper Cliff,Ontario,46.495,-81.0561,28.15,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091465&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1465,2021
1467,Copper Cliff Nickel Refinery,Vale Canada Limited,,Copper Cliff,Ontario,46.4452,-81.0846,797.84,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091467&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1467,2021
1471,Port Colborne Refinery,Vale Canada Limited,187 Davis Street,Port Colborne,Ontario,42.8826,-79.2405,3.2,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091471&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1471,2021
1473,Thompson Operations,Vale Canada Limited,,Thompson,Manitoba,55.7138,-97.8561,2.29,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091473&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1473,2021
1485,Cloverdale Paint Inc.,Cloverdale Paint Inc. - Oakville,,Oakville,Ontario,43.4266,-79.7096,3.72,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091485&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1485,2021
1486,Mackenzie Pulp Mill,Mackenzie Pulp Mill Corporation,1000 Coquawaldie Road,Mackenzie,British Columbia,55.2914,-123.1592,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091486&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1486,2021
1495,Ajax Plant,Dcl Corporation,,Ajax,Ontario,43.8378,-79.0294,0.74,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091495&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1495,2021
1519,Itl Circuits,ITL (Integrated Technology Ltd).,,Markham,Ontario,43.8233,-79.3489,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091519&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1519,2021
1520,Ivaco Rolling Mills,Ivaco Rolling Mills 2004 L. P.,,L'Orignal,Ontario,45.6133,-74.705,3.5,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091520&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1520,2021
1528,Usine de Thurso,Fortress Cellulose Spécialisée,,Thurso,Quebec,45.5985,-75.2562,0.63,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091528&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1528,2021
1541,Lethbridge,Kawneer Company Canada Ltd.,,Lethbridge,Alberta,49.7201,-112.7819,0.02,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091541&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1541,2021
1560,Korzite Coatings Inc,Korzite Coatings Inc.,,Guelph,Ontario,43.5045,-80.2702,19.76,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091560&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1560,2021
1568,Macassa Mine,Kirkland Lake Gold Inc,,Kirkland Lake,Ontario,48.1463,-80.0607,3.97,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091568&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1568,2021
1578,"Laurel Steel, A Division of Harris Steel Ulc","Laurel Steel, a Division of Harris Steel ULC",,Burlington,Ontario,43.3842,-79.7592,0.3,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091578&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1578,2021
1593,Port Alberni Division,Catalyst Paper Corporation,,Port Alberni,British Columbia,49.2478,-124.811,6.74,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091593&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1593,2021
1611,Mine Matagami,Glencore Canada Corporation,,Matagami,Quebec,49.7272,-77.7456,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091611&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1611,2021
1651,"Gerdau Ameristeel Corporation, Manitoba Mill",Gerdau Ameristeel Corporation,,Selkirk,Manitoba,50.1302,-96.9013,146.98,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091651&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1651,2021
1696,Coleson Cove Generating Station,New Brunswick Power Corporation,,Saint John,New Brunswick,45.1534,-66.2025,1.57,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091696&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1696,2021
1698,Belledune Generating Station,New Brunswick Power Corporation,,Belledune,New Brunswick,47.9058,-65.867,0.14,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091698&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1698,2021
1715,Niagara Piston Inc,Niagara Piston Inc.,,Beamsville,Ontario,43.1853,-79.4753,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091715&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1715,2021
1770,Kirkland Lake Generating Station,Northland Power Inc.,,Kirkland Lake,Ontario,48.1347,-80.0425,15.93,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091770&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1770,2021
1779,Nova Chemicals Corporation (Joffre),Nova Chemicals Corporation,,Lacombe,Alberta,52.3083,-113.55,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091779&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1779,2021
1797,Northwood Pulp Mill,Canfor Pulp Ltd.,,Prince George,British Columbia,53.9779,-122.695,34.5,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091797&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1797,2021
1809,Lambton Generating Station,Ontario Power Generation Inc.,1886 St. Clair Parkway,Courtright,Ontario,42.7961,-82.4697,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091809&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1809,2021
1861,Nanticoke Generating Station,Ontario Power Generation Inc.,34 Haldimand Rd 55 Road South,Nanticoke,Ontario,42.7961,-80.05,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091861&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1861,2021
1941,Porcupine Gold Mines,Goldcorp Canada Ltd,,South Porcupine,Ontario,48.4633,-81.2475,63.27,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091941&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1941,2021
1979,Papeterie de Dolbeau,Produits Forestiers Résolu,,Dolbeau-Mistassini,Quebec,48.8791,-72.2189,9.34,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091979&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1979,2021
2000,Usine de Bouletage de Port-Cartier,Arcelormittal Exploitation Minière Canada S.E.N.C.,,Port-Cartier,Quebec,50.0334,-66.791,343.42,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092000&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2000,2021
2001,Pfr Baie-Comeau,Produits Forestiers Résolu,20 Marquette,Baie-Comeau,Quebec,49.255,-68.1561,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092001&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2001,2021
2051,Canadian Kraft Paper Industries Ltd.,Canadian Kraft Paper Industries Ltd.,"1 Kraft Rd., Highway 10 North",The Pas,Manitoba,53.860974,-101.213325,182.76,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092051&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2051,2021
2079,Poplar River Power Station,Saskatchewan Power Corporation,,Coronach,Saskatchewan,49.0472,-105.4883,113.52,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092079&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2079,2021
2081,Boundary Dam Power Station,Saskatchewan Power Corporation,,Estevan,Saskatchewan,49.09606,-103.0305,146.74,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092081&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2081,2021
2083,Shand Power Station,Saskatchewan Power Corporation,,Estevan,Saskatchewan,49.0879,-102.864,36.92,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092083&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2083,2021
2134,Redwater Fertilizer Operations,Agrium Inc.,,Sturgeon County,Alberta,53.8416,-113.0979,1.9,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092134&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2134,2021
2161,Hamilton Specialty Bar,Hamilton Specialty Bar Corporation,319 Sherman Avenue North,Hamilton,Ontario,43.2619,-79.8356,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092161&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2161,2021
2173,Kapuskasing Operations,Produits Forestiers Greenfirst (QC) Inc. / Greenfirst Forest,,Kapuskasing,Ontario,49.41,-82.4239,1.94,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=092173&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/2173,2021
